Id,duration
1,3.94
2,3.94
3,3.94
4,3.94
5,3.94
6,3.94
7,3.94
8,3.94
9,3.94
10,3.94
11,3.94
12,3.94
13,3.94
14,3.94
15,3.94
16,3.94
17,3.94
18,3.94
19,3.94
20,3.94
21,3.94
22,3.94
23,3.94
24,3.94
25,3.94
26,3.94
27,3.94
28,3.94
29,3.94
30,3.94
31,3.94
32,3.94
33,3.94
34,3.94
35,3.94
36,3.94
37,3.94
38,3.94
39,3.94
40,3.94
41,3.94
42,3.94
43,3.94
44,3.94
45,3.94
46,3.94
47,3.94
48,3.94
49,3.94
50,3.94
51,3.94
52,3.94
53,3.94
54,3.94
55,3.94
56,3.94
57,3.94
58,3.94
59,3.94
60,3.94
61,3.94
62,3.94
63,3.94
64,3.94
65,3.94
66,3.94
67,3.94
68,3.94
69,3.94
70,3.94
71,3.94
72,3.94
73,3.94
74,3.94
75,3.94
76,3.94
77,3.94
78,3.94
79,3.94
80,3.94
81,3.94
82,3.94
83,3.94
84,3.94
85,3.94
86,3.94
87,3.94
88,3.94
89,3.94
90,3.94
91,3.94
92,3.94
93,3.94
94,3.94
95,3.94
96,3.94
97,3.94
98,3.94
99,3.94
100,3.94
101,3.94
102,3.94
103,3.94
104,3.94
105,3.94
106,3.94
107,3.94
108,3.94
109,3.94
110,3.94
111,3.94
112,3.94
113,3.94
114,3.94
115,3.94
116,3.94
117,3.94
118,3.94
119,3.94
120,3.94
121,3.94
122,3.94
123,3.94
124,3.94
125,3.94
126,3.94
127,3.94
128,3.94
129,3.94
130,3.94
131,3.94
132,3.94
133,3.94
134,3.94
135,3.94
136,3.94
137,3.94
138,3.94
139,3.94
140,3.94
141,3.94
142,3.94
143,3.94
144,3.94
145,3.94
146,3.94
147,3.94
148,3.94
149,3.94
150,3.94
151,3.94
152,3.94
153,3.94
154,3.94
155,3.94
156,3.94
157,3.94
158,3.94
159,3.94
160,3.94
161,3.94
162,3.94
163,3.94
164,3.94
165,3.94
166,3.94
167,3.94
168,3.94
169,3.94
170,3.94
171,3.94
172,3.94
173,3.94
174,3.94
175,3.94
176,3.94
177,3.94
178,3.94
179,3.94
180,3.94
181,3.94
182,3.94
183,3.94
184,3.94
185,3.94
186,3.94
187,3.94
188,3.94
189,3.94
190,3.94
191,3.94
192,3.94
193,3.94
194,3.94
195,3.94
196,3.94
197,3.94
198,3.94
199,3.94
200,3.94
